;Consciente;DistracaoApp;SomCarro;DirecaoCarro;Percepcao
126;Consciente;Sim;Sim;Esquerda;Arriscado
127;Consciente;Sim;Sim;Atras;Esperado
128;Consciente;Sim;Sim;Frente;Esperado
129;Consciente;Sim;Sim;Frente;Esperado
130;Consciente;Sim;Nao;Atras;Esperado
131;Consciente;Sim;Nao;Esquerda;Arriscado
132;Consciente;Sim;Nao;Direita;Arriscado
133;Consciente;Sim;Nao;Frente;Esperado
134;Consciente;Sim;Sim;Atras;Esperado
135;Consciente;Sim;Nao;Atras;Esperado
136;Consciente;Sim;Sim;Esquerda;Arriscado
137;Consciente;Sim;Nao;Esquerda;Arriscado
138;Consciente;Sim;Sim;Direita;Esperado
139;Consciente;Sim;Sim;Direita;Atrasado
140;Consciente;Sim;Nao;Frente;Esperado
141;Consciente;Sim;Nao;Frente;Esperado
142;Consciente;Sim;Sim;Frente;Arriscado
143;Consciente;Sim;Sim;Direita;Arriscado
144;Consciente;Sim;Sim;Esquerda;Arriscado
145;Consciente;Sim;Sim;Atras;Esperado
146;Consciente;Sim;Nao;Atras;Arriscado
147;Consciente;Sim;Sim;Esquerda;Esperado
148;Consciente;Sim;Sim;Direita;Esperado
149;Consciente;Sim;Sim;Frente;Precipitado
150;Consciente;Sim;Nao;Atras;Arriscado
151;Consciente;Sim;Sim;Atras;Precipitado
152;Consciente;Sim;Nao;Esquerda;Arriscado
154;Inconsciente;Sim;Nao;Esquerda;Atrasado
155;Inconsciente;Sim;Nao;Direita;Arriscado
156;Consciente;Sim;Sim;Frente;Esperado
157;Consciente;Sim;Sim;Frente;Esperado
158;Consciente;Sim;Sim;Esquerda;Arriscado
159;Consciente;Sim;Nao;Atras;Esperado
160;Consciente;Sim;Nao;Frente;Arriscado
161;Consciente;Sim;Nao;Esquerda;Arriscado
162;Consciente;Sim;Nao;Frente;Esperado
163;Consciente;Sim;Sim;Atras;Esperado
164;Consciente;Sim;Sim;Atras;Esperado
165;Consciente;Sim;Nao;Atras;Arriscado
166;Consciente;Sim;Sim;Esquerda;Arriscado
167;Consciente;Sim;Sim;Direita;Esperado
168;Consciente;Sim;Sim;Direita;Esperado
169;Consciente;Sim;Nao;Direita;Atrasado
170;Inconsciente;Sim;Nao;Esquerda;Atrasado
171;Inconsciente;Sim;Nao;Direita;Arriscado
172;Consciente;Nao;Sim;Frente;Esperado
173;Consciente;Nao;Sim;Frente;Precipitado
174;Consciente;Nao;Nao;Frente;Esperado
175;Consciente;Nao;Sim;Atras;Esperado
176;Consciente;Nao;Nao;Frente;Precipitado
177;Consciente;Nao;Nao;Atras;Precipitado
178;Consciente;Nao;Sim;Atras;Precipitado
179;Consciente;Nao;Nao;Atras;Arriscado
180;Consciente;Nao;Sim;Esquerda;Atrasado
181;Consciente;Nao;Nao;Esquerda;Atrasado
182;Consciente;Nao;Nao;Esquerda;Atrasado
183;Consciente;Nao;Sim;Esquerda;Atrasado
184;Consciente;Nao;Sim;Direita;Precipitado
185;Consciente;Nao;Nao;Direita;Arriscado
186;Consciente;Nao;Sim;Direita;Arriscado
187;Inconsciente;Nao;Nao;Direita;Atrasado
188;Consciente;Sim;Sim;Frente;Arriscado
189;Consciente;Sim;Sim;Direita;Esperado
190;Consciente;Sim;Nao;Direita;Atrasado
191;Consciente;Sim;Sim;Esquerda;Arriscado
192;Consciente;Sim;Nao;Atras;Esperado
193;Consciente;Sim;Sim;Direita;Precipitado
194;Consciente;Sim;Nao;Frente;Esperado
195;Consciente;Sim;Nao;Direita;Arriscado
196;Consciente;Sim;Sim;Frente;Esperado
197;Consciente;Sim;Sim;Atras;Arriscado
198;Consciente;Sim;Nao;Esquerda;Precipitado
199;Consciente;Sim;Nao;Esquerda;Arriscado
200;Consciente;Sim;Sim;Esquerda;Precipitado
201;Inconsciente;Sim;Nao;Frente;Perigoso
202;Inconsciente;Sim;Sim;Atras;Atrasado
203;Inconsciente;Sim;Nao;Atras;Atrasado
204;Consciente;Nao;Sim;Direita;Arriscado
205;Consciente;Nao;Nao;Esquerda;Esperado
206;Consciente;Nao;Sim;Frente;Perigoso
207;Consciente;Nao;Sim;Esquerda;Atrasado
208;Consciente;Nao;Nao;Direita;Precipitado
209;Consciente;Nao;Sim;Atras;Arriscado
210;Consciente;Nao;Nao;Atras;Atrasado
211;Consciente;Nao;Nao;Frente;Arriscado
212;Consciente;Nao;Sim;Frente;Arriscado
213;Consciente;Nao;Nao;Atras;Atrasado
214;Consciente;Nao;Nao;Frente;Arriscado
215;Consciente;Nao;Sim;Esquerda;Arriscado
216;Consciente;Nao;Nao;Esquerda;Arriscado
217;Consciente;Nao;Sim;Direita;Esperado
218;Inconsciente;Nao;Sim;Atras;Perigoso
219;Inconsciente;Nao;Nao;Direita;Perigoso
220;Consciente;Sim;Nao;Direita;Arriscado
221;Consciente;Sim;Nao;Esquerda;Arriscado
222;Consciente;Sim;Nao;Frente;Arriscado
223;Consciente;Sim;Sim;Atras;Esperado
224;Consciente;Sim;Nao;Esquerda;Arriscado
225;Consciente;Sim;Nao;Atras;Precipitado
226;Consciente;Sim;Sim;Esquerda;Arriscado
227;Consciente;Sim;Nao;Atras;Arriscado
228;Consciente;Sim;Sim;Direita;Esperado
229;Consciente;Sim;Sim;Frente;Esperado
230;Consciente;Sim;Nao;Direita;Atrasado
231;Consciente;Sim;Nao;Frente;Esperado
232;Consciente;Sim;Sim;Frente;Precipitado
233;Consciente;Sim;Sim;Atras;Esperado
234;Consciente;Sim;Sim;Esquerda;Esperado
235;Inconsciente;Sim;Sim;Direita;Atrasado
236;Consciente;Nao;Sim;Atras;Arriscado
237;Consciente;Nao;Sim;Direita;Arriscado
238;Consciente;Nao;Nao;Atras;Esperado
239;Consciente;Nao;Nao;Atras;Esperado
240;Consciente;Nao;Nao;Frente;Arriscado
241;Consciente;Nao;Sim;Esquerda;Precipitado
242;Consciente;Nao;Nao;Direita;Esperado
243;Consciente;Nao;Sim;Frente;Precipitado
244;Consciente;Nao;Nao;Frente;Arriscado
245;Consciente;Nao;Nao;Esquerda;Arriscado
246;Consciente;Nao;Sim;Direita;Esperado
247;Consciente;Nao;Sim;Esquerda;Esperado
248;Consciente;Nao;Sim;Frente;Precipitado
249;Consciente;Nao;Sim;Atras;Esperado
250;Consciente;Nao;Nao;Direita;Arriscado
251;Inconsciente;Nao;Nao;Esquerda;Atrasado
252;Consciente;Sim;Sim;Direita;Esperado
253;Consciente;Sim;Sim;Direita;Precipitado
254;Consciente;Sim;Nao;Direita;Precipitado
255;Consciente;Sim;Nao;Esquerda;Arriscado
256;Consciente;Sim;Sim;Esquerda;Esperado
257;Consciente;Sim;Nao;Atras;Precipitado
258;Consciente;Sim;Sim;Atras;Precipitado
259;Consciente;Sim;Sim;Frente;Arriscado
260;Consciente;Sim;Sim;Frente;Esperado
261;Consciente;Sim;Nao;Direita;Precipitado
262;Consciente;Sim;Nao;Frente;Precipitado
263;Consciente;Sim;Nao;Frente;Esperado
264;Consciente;Sim;Sim;Atras;Esperado
265;Consciente;Sim;Nao;Atras;Precipitado
266;Consciente;Sim;Sim;Esquerda;Esperado
267;Consciente;Sim;Nao;Esquerda;Atrasado
268;Consciente;Sim;Nao;Esquerda;Esperado
269;Consciente;Sim;Sim;Atras;Esperado
270;Consciente;Sim;Sim;Frente;Arriscado
271;Consciente;Sim;Nao;Frente;Arriscado
272;Consciente;Sim;Sim;Esquerda;Arriscado
273;Consciente;Sim;Nao;Frente;Esperado
274;Consciente;Sim;Sim;Frente;Arriscado
275;Consciente;Sim;Nao;Atras;Arriscado
276;Consciente;Sim;Nao;Atras;Arriscado
277;Consciente;Sim;Sim;Atras;Esperado
278;Consciente;Sim;Sim;Esquerda;Arriscado
279;Consciente;Sim;Nao;Esquerda;Esperado
280;Consciente;Sim;Nao;Direita;Esperado
281;Consciente;Sim;Sim;Direita;Arriscado
282;Consciente;Sim;Nao;Direita;Atrasado
283;Consciente;Sim;Sim;Direita;Esperado
284;Consciente;Sim;Sim;Direita;Precipitado
285;Consciente;Sim;Sim;Esquerda;Esperado
286;Consciente;Sim;Sim;Atras;Esperado
287;Consciente;Sim;Sim;Esquerda;Esperado
288;Consciente;Sim;Nao;Direita;Precipitado
289;Consciente;Sim;Nao;Frente;Precipitado
290;Consciente;Sim;Nao;Direita;Esperado
291;Consciente;Sim;Sim;Atras;Precipitado
292;Consciente;Sim;Nao;Atras;Esperado
293;Consciente;Sim;Nao;Frente;Esperado
294;Consciente;Sim;Nao;Atras;Esperado
295;Consciente;Sim;Sim;Frente;Arriscado
296;Consciente;Sim;Sim;Frente;Arriscado
297;Consciente;Sim;Nao;Esquerda;Esperado
298;Consciente;Sim;Nao;Esquerda;Precipitado
299;Consciente;Sim;Sim;Direita;Esperado
301;Consciente;Sim;Sim;Atras;Atrasado
302;Consciente;Sim;Sim;Direita;Precipitado
303;Consciente;Sim;Nao;Atras;Arriscado
304;Consciente;Sim;Sim;Frente;Esperado
305;Consciente;Sim;Sim;Frente;Arriscado
306;Consciente;Sim;Nao;Frente;Arriscado
307;Consciente;Sim;Nao;Frente;Arriscado
308;Consciente;Sim;Nao;Esquerda;Arriscado
309;Consciente;Sim;Sim;Esquerda;Esperado
310;Consciente;Sim;Nao;Esquerda;Esperado
311;Consciente;Sim;Sim;Esquerda;Esperado
312;Consciente;Sim;Nao;Direita;Precipitado
313;Consciente;Sim;Nao;Direita;Esperado
314;Consciente;Sim;Sim;Direita;Esperado
315;Consciente;Sim;Sim;Atras;Esperado
316;Consciente;Sim;Sim;Direita;Arriscado
317;Consciente;Sim;Sim;Direita;Esperado
318;Consciente;Sim;Nao;Atras;Esperado
319;Consciente;Sim;Nao;Esquerda;Arriscado
320;Consciente;Sim;Nao;Atras;Esperado
321;Consciente;Sim;Sim;Frente;Arriscado
322;Consciente;Sim;Nao;Direita;Arriscado
323;Consciente;Sim;Nao;Esquerda;Esperado
324;Consciente;Sim;Nao;Direita;Esperado
325;Consciente;Sim;Nao;Frente;Esperado
326;Consciente;Sim;Nao;Frente;Arriscado
327;Consciente;Sim;Sim;Frente;Arriscado
328;Consciente;Sim;Sim;Atras;Arriscado
329;Consciente;Sim;Sim;Esquerda;Esperado
330;Consciente;Sim;Sim;Esquerda;Esperado
331;Consciente;Nao;Sim;Direita;Precipitado
332;Consciente;Nao;Sim;Atras;Precipitado
333;Consciente;Nao;Nao;Frente;Esperado
334;Consciente;Nao;Nao;Atras;Esperado
335;Consciente;Nao;Nao;Esquerda;Esperado
336;Consciente;Nao;Sim;Atras;Esperado
337;Consciente;Nao;Sim;Esquerda;Esperado
