	Aware	AppDistraction	CarSound	CarDirection
215	Aware	No	On	Left
216	Aware	No	Off	Left
217	Aware	No	On	Right
218	Unaware	No	On	Back
219	Unaware	No	Off	Right
220	Aware	Yes	Off	Right
221	Aware	Yes	Off	Left
222	Aware	Yes	Off	Front
223	Aware	Yes	On	Back
224	Aware	Yes	Off	Left
225	Aware	Yes	Off	Back
226	Aware	Yes	On	Left
227	Aware	Yes	Off	Back
228	Aware	Yes	On	Right
229	Aware	Yes	On	Front
230	Aware	Yes	Off	Right
231	Aware	Yes	Off	Front
232	Aware	Yes	On	Front
233	Aware	Yes	On	Back
234	Aware	Yes	On	Left
235	Unaware	Yes	On	Right
236	Aware	No	On	Back
237	Aware	No	On	Right
238	Aware	No	Off	Back
239	Aware	No	Off	Back
240	Aware	No	Off	Front
241	Aware	No	On	Left
242	Aware	No	Off	Right
243	Aware	No	On	Front
244	Aware	No	Off	Front
245	Aware	No	Off	Left
246	Aware	No	On	Right
247	Aware	No	On	Left
248	Aware	No	On	Front
249	Aware	No	On	Back
250	Aware	No	Off	Right
251	Unaware	No	Off	Left
252	Aware	Yes	On	Right
253	Aware	Yes	On	Right
254	Aware	Yes	Off	Right
255	Aware	Yes	Off	Left
256	Aware	Yes	On	Left
257	Aware	Yes	Off	Back
258	Aware	Yes	On	Back
259	Aware	Yes	On	Front
260	Aware	Yes	On	Front
261	Aware	Yes	Off	Right
262	Aware	Yes	Off	Front
263	Aware	Yes	Off	Front
264	Aware	Yes	On	Back
265	Aware	Yes	Off	Back
266	Aware	Yes	On	Left
267	Aware	Yes	Off	Left
268	Aware	Yes	Off	Left
269	Aware	Yes	On	Back
270	Aware	Yes	On	Front
271	Aware	Yes	Off	Front
272	Aware	Yes	On	Left
273	Aware	Yes	Off	Front
274	Aware	Yes	On	Front
275	Aware	Yes	Off	Back
276	Aware	Yes	Off	Back
277	Aware	Yes	On	Back
278	Aware	Yes	On	Left
279	Aware	Yes	Off	Left
280	Aware	Yes	Off	Right
281	Aware	Yes	On	Right
282	Aware	Yes	Off	Right
283	Aware	Yes	On	Right
284	Aware	Yes	On	Right
285	Aware	Yes	On	Left
286	Aware	Yes	On	Back
287	Aware	Yes	On	Left
288	Aware	Yes	Off	Right
289	Aware	Yes	Off	Front
290	Aware	Yes	Off	Right
291	Aware	Yes	On	Back
292	Aware	Yes	Off	Back
293	Aware	Yes	Off	Front
294	Aware	Yes	Off	Back
295	Aware	Yes	On	Front
296	Aware	Yes	On	Front
297	Aware	Yes	Off	Left
298	Aware	Yes	Off	Left
299	Aware	Yes	On	Right
300	Aware	Yes	Off	Back
